"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 86, 0, 1, 9, 96
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.ts", "TypeScript", 0, 0, 0, 0, 94, 0, 0, 0, 7, 23, 124
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\admin-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\admin-api.service.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 1, 9, 63
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\snackbar.service.spec.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\snackbar.service.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\spacing.directive.spec.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\spacing.directive.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 42
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.html", "HTML", 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
