"filename", "language", "JSON", "SCSS", "HTML", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\project.interface.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\task.interface.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 5, 35
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.html", "HTML", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.html", "HTML", 0, 0, 10, 0, 0, 0, -2, 8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\project-card\project-card.component.ts", "TypeScript", 0, 0, 0, 0, -7, 6, 10, 9
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\services\admin-api.service.ts", "TypeScript", 0, 0, 0, 0, -6, 0, -2, -8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\sidenav\sidenav.component.html", "HTML", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\task-card\task-card.component.html", "HTML", 0, 0, 18, 0, 0, -5, 1, 14
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.html", "HTML", 0, 0, 3, 0, 0, -17, -1, -15
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\top-nav\top-nav.component.scss", "SCSS", 0, 3, 0, 0, 0, 0, -1, 2
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\utility\error.ts", "TypeScript", 0, 0, 0, 0, 3, -3, -1, -1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\utility\loading.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\assets\avatar.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\assets\background-images\growth.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\assets\background-images\tasks1.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\index.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\styles.scss", "SCSS", 0, 9, 0, 0, 0, 0, 2, 11
"Total", "-", 78, 208, 97, 3, 511, 121, 148, 1166
